idSerie,titulo,lanzamiento,resumen
1,Stranger Things,2016,Un grupo de niños se encuentra con eventos sobrenaturales mientras buscan a su amigo desaparecido.
2,Game of Thrones,2011,Las familias nobles de Westeros luchan por el control del Trono de Hierro.
3,The Mandalorian,2019,Un cazarrecompensas solitario se aventura en los confines de la galaxia, lejos de la autoridad de la Nueva República.
4,The Witcher,2019,Geralt de Rivia, un cazador de monstruos, lucha por encontrar su lugar en un mundo donde las personas son a menudo más perversas que las bestias.
5,Attack on Titan,2013,La humanidad lucha por sobrevivir contra gigantes devoradores de hombres.
6,Breaking Bad,2008,Un profesor de química convertido en fabricante de metanfetamina intenta asegurar el futuro financiero de su familia.
7,Money Heist,2017,Un grupo de criminales realiza el mayor robo de la historia bajo la dirección de El Profesor.
8,The Crown,2016,La historia del reinado de la reina Isabel II del Reino Unido.
9,Black Mirror,2011,Una serie antológica que explora temas oscuros y satíricos sobre la sociedad moderna y la tecnología.
10,The Office,2005,Un grupo de oficinistas navega las trivialidades de la vida laboral diaria.
